ID;projectCode;projectName;clientName;location;state;capacityKWp;startDate;endDate;budget;spentAmount;currency;status;description;projectManager_ID
852764c1-e1ee-4335-88f4-fb01eb1d7e4b;PRJ-2026-0001;Alpha Solar Park;TechCorp Solar;Pune;Maharashtra;500;2026-01-01;2026-12-31;50000000;12500000;INR;ACTIVE;500kWp Ground Mount Solar EPC;a2a2f988-2268-40c4-a3d1-e1f411e56e5a
20000000-0000-4000-8000-000000000002;PRJ-2026-0002;Bhadla Solar Park Phase III;Rajasthan Power Corp;Bhadla;Rajasthan;1000;2026-02-01;2027-01-31;95000000;23750000;INR;ACTIVE;1MWp Grid-Tied Solar EPC Phase III;a2a2f988-2268-40c4-a3d1-e1f411e56e5a
30000000-0000-4000-8000-000000000003;PRJ-2026-0003;Rewa Ultra Mega Solar;MP Urja Vikas Nigam;Rewa;Madhya Pradesh;750;2026-03-01;2027-02-28;72000000;18000000;INR;ACTIVE;750kWp Ultra Mega Solar Plant;a2a2f988-2268-40c4-a3d1-e1f411e56e5a
40000000-0000-4000-8000-000000000004;PRJ-2026-0004;Kamuthi Solar Plant;Tamil Nadu Genco;Kamuthi;Tamil Nadu;600;2026-01-15;2026-11-30;58000000;14500000;INR;ACTIVE;600kWp Ground Mount EPC Project;a2a2f988-2268-40c4-a3d1-e1f411e56e5a
50000000-0000-4000-8000-000000000005;PRJ-2026-0005;Pavagada Solar Park;KREDL;Pavagada;Karnataka;850;2026-04-01;2027-03-31;82000000;12300000;INR;ACTIVE;850kWp Solar Park Extension;a2a2f988-2268-40c4-a3d1-e1f411e56e5a
60000000-0000-4000-8000-000000000006;PRJ-2026-0006;Surat Rooftop Solar Cluster;Gujarat Industrial Estates;Surat;Gujarat;420;2026-02-10;2026-10-20;39500000;9800000;INR;ON_HOLD;Cluster rooftop rollout paused for structural redesign;a2a2f988-2268-40c4-a3d1-e1f411e56e5a
70000000-0000-4000-8000-000000000007;PRJ-2026-0007;Nagpur Agro Solar Estate;Vidarbha Agro Infra;Nagpur;Maharashtra;680;2026-03-15;2027-01-15;64000000;16000000;INR;ON_HOLD;Execution on hold pending right-of-way clearance;a2a2f988-2268-40c4-a3d1-e1f411e56e5a
80000000-0000-4000-8000-000000000008;PRJ-2026-0008;Jaipur Smart Grid Solar;Jaipur Smart City Ltd;Jaipur;Rajasthan;540;2026-01-20;2026-09-30;47000000;6000000;INR;CANCELLED;Cancelled after client funding withdrawal;a2a2f988-2268-40c4-a3d1-e1f411e56e5a
90000000-0000-4000-8000-000000000009;PRJ-2026-0009;Vizag Port Solar Yard;Andhra Maritime Logistics;Visakhapatnam;Andhra Pradesh;900;2026-02-05;2027-02-15;88000000;11000000;INR;CANCELLED;Cancelled after land allocation revision;a2a2f988-2268-40c4-a3d1-e1f411e56e5a
91000000-0000-4000-8000-000000000010;PRJ-2026-0010;Lucknow Metro Depot Solar;UP Metro Rail Corp;Lucknow;Uttar Pradesh;480;2026-03-01;2026-12-15;43000000;5200000;INR;CANCELLED;Cancelled after scope moved to alternate EPC package;a2a2f988-2268-40c4-a3d1-e1f411e56e5a
